Team,MP,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,PTS,TRB,AST,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,BPM
Atlanta,30.1,0.5,0.288,0.692,0.565,25.7,121,106,18.1,10.9,6.3,7.1,14.3,1.1,3.7,2.8,4.1,10.9,1.7,0.9,1.9,4.1
Boston,30.8,0.554,0.364,0.824,0.639,27.9,124,108,21.5,10.3,6.5,8.2,14.8,1.3,3.7,3.7,4.5,10.3,1.3,0.9,3,1.3
Charlotte,32.1,0.515,0.293,0.798,0.586,29.2,120,107,22.1,13.9,7.1,8.4,16.4,0.8,2.6,4.4,5.6,13.9,0.9,0.6,3.3,8.3
Chicago,28,0.522,0.447,0.821,0.602,26.6,130,107,18.1,9.9,7.7,7.2,13.7,1.3,2.9,2.5,3,9.9,0.9,0.9,1.9,9
Cleveland,31.2,0.579,0.41,0.864,0.662,24.4,127,110,18.4,10.7,7.1,7.1,12.3,1,2.4,3.2,3.7,10.7,1.4,0.4,3.3,4.1
Dallas,30,0.531,0.27,0.777,0.595,27.3,116,107,18.2,11.4,6.2,7.2,13.6,0.8,3,2.9,3.8,11.4,1.2,0.5,3.1,2.9
Detroit,30.5,0.575,0.265,0.817,0.636,27.2,129,105,21.4,9.1,6.3,8.5,14.7,0.6,2.3,3.9,4.7,9.1,1.6,0.9,2.1,4.7
Golden State,29.6,0.499,0.182,0.8,0.571,27.2,114,111,17.8,10.3,6.6,6.7,13.3,0.4,2.1,4.2,5.2,10.3,1.5,0.5,3.5,-1.8
Houston,27.6,0.576,0.341,0.802,0.634,28.8,119,111,19,10.3,6.5,7.6,13.2,0.5,1.6,3.3,4.1,10.3,1.2,0.7,3.6,1.6
Indiana,31.5,0.559,0.429,0.845,0.644,30.9,126,109,25.1,9.5,5.4,9.5,17.1,1.4,3.2,4.6,5.5,9.5,2.1,0.7,3,3.5
LA Clippers,30.5,0.538,0.325,0.828,0.627,27.3,126,108,20.7,10.9,6.1,7.6,14,1,3,4.6,5.6,10.9,1.1,0.7,2.6,3.1
LA Lakers,30.5,0.527,0.292,0.883,0.621,26.1,121,107,19,10.2,6.2,6.9,13.1,0.8,2.7,4.4,5,10.2,1.4,0.7,2.9,5.5
Memphis,31.7,0.577,0.373,0.845,0.664,24.6,125,104,19.6,10.4,5.6,7.4,12.8,1.1,2.9,3.8,4.5,10.4,1.4,0.5,2.8,5.5
Miami,32.6,0.554,0.439,0.817,0.627,25,127,107,20.2,11.1,6.3,8,14.4,1.1,2.6,3.1,3.8,11.1,1.1,0.7,2.3,7.5
Milwaukee,31.4,0.544,0.429,0.87,0.632,27.3,128,108,21.4,9.5,8.5,8.4,15.5,1.7,4,2.9,3.3,9.5,1.1,0.6,2.9,4.2
Minnesota,32,0.53,0.264,0.82,0.599,28.1,119,109,20.4,10.6,6.8,8,15.1,0.8,3,3.6,4.4,10.6,0.8,1,3.4,5.7
New Jersey,30.3,0.582,0.318,0.885,0.66,26.9,134,108,22.6,11.6,6.3,8.7,14.9,0.9,2.8,4.3,4.9,11.6,1.4,0.8,2.2,5.9
New Orleans,30,0.592,0.407,0.827,0.671,27.6,129,109,21.7,10.1,7,8.5,14.4,1.3,3.3,3.3,4,10.1,1.3,0.8,2.9,4.2
New York,30.1,0.563,0.396,0.765,0.634,28.9,128,109,22.1,10.2,5.9,8.7,15.4,1.3,3.2,3.5,4.5,10.2,0.7,0.7,2.5,8.2
Oklahoma City,31.8,0.559,0.28,0.875,0.645,26.1,126,106,21,10.6,6.6,7.9,14.2,0.9,3.3,4.3,4.9,10.6,1,0.9,2.9,6.4
Orlando,31.9,0.498,0.346,0.804,0.582,24.5,121,105,17.7,10.3,8.3,6.7,13.5,1.2,3.5,3,3.7,10.3,1.4,0.7,2.7,10.9
Philadelphia,33,0.544,0.368,0.819,0.638,27.2,125,109,22.4,10.5,7.8,7.9,14.6,1,2.7,5.5,6.7,10.5,0.8,1,2.9,6.2
Phoenix,31.7,0.57,0.404,0.859,0.662,25.6,130,106,20.5,10.9,6.5,7.5,13.2,1,2.4,4.6,5.3,10.9,1.4,0.7,2.8,9.2
Portland,29.9,0.558,0.367,0.823,0.637,26.2,128,109,19.6,9.5,6.3,7.6,13.7,1.1,3.1,3.2,3.9,9.5,0.9,0.8,2.5,5.9
Sacramento,31.2,0.547,0.303,0.857,0.629,25.2,123,107,19.1,10.9,7,7.3,13.3,0.9,3,3.6,4.2,10.9,1.1,0.8,2.9,5.1
San Antonio,32.2,0.601,0.483,0.826,0.677,28.1,124,112,23,9.9,7.6,9.3,15.5,1.6,3.2,2.8,3.4,9.9,1,0.6,9.3,3.3
Toronto,29.6,0.613,0.259,0.868,0.679,24.6,133,112,19,10.9,5.9,7.4,12.1,0.4,1.7,3.7,4.3,10.9,0.7,0.7,2.5,2.6
Utah,30.5,0.529,0.333,0.821,0.613,25.9,123,107,18.4,10.2,7.1,6.9,13.1,1,2.9,3.6,4.4,10.2,1.3,0.7,2.6,0.1
Washington,30.7,0.615,0.541,0.849,0.704,26.6,131,107,22.3,11.3,5.9,8.4,13.7,1.3,2.5,4.1,4.9,11.3,1.4,0.6,2.9,6.1
