Seconds_played,Home_or_Away,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,WinOrLoss,Margin
2005,1,12,17,1,1,3,0,2,2,1,2,2,4,6,3,0,3,4,27,24,-5,1,1,7,8,7,38,4,0,14,27,136,119,14,0,21
2005,1,12,17,1,1,3,0,2,2,1,2,2,4,6,3,0,3,4,27,24,-5,0,0,19,32,26,33,2,0,7,22,124,83,6,0,21
1709,0,6,12,0,0,0,0,1,3,0,5,9,14,6,1,0,1,6,13,14,15,1,1,7,8,7,38,4,0,14,27,136,119,14,1,29
1709,0,6,12,0,0,0,0,1,3,0,5,9,14,6,1,0,1,6,13,14,15,0,0,19,32,26,33,2,0,7,22,124,83,6,1,29
2064,1,7,13,1,1,2,0,11,11,1,3,9,12,10,0,0,5,4,26,25,-3,1,1,10,35,22,38,0,0,22,27,138,119,7,1,5
2064,1,7,13,1,1,2,0,11,11,1,3,9,12,10,0,0,5,4,26,25,-3,1,1,11,22,16,35,0,0,12,32,126,125,6,1,5
2234,0,10,19,1,1,3,0,6,9,1,3,6,9,9,0,0,3,4,27,22,6,1,1,10,35,22,38,0,0,22,27,138,119,7,1,9
2234,0,10,19,1,1,3,0,6,9,1,3,6,9,9,0,0,3,4,27,22,6,1,1,11,22,16,35,0,0,12,32,126,125,6,1,9
2321,0,6,10,1,1,1,1,6,9,1,1,15,16,13,1,1,3,2,19,25,18,1,1,3,40,21,47,1,2,18,18,142,105,12,1,5
2321,0,6,10,1,1,1,1,6,9,1,1,15,16,13,1,1,3,2,19,25,18,1,1,8,28,19,41,1,0,24,21,137,113,10,1,5
2283,1,9,13,1,2,3,1,0,0,0,2,9,11,12,1,0,4,4,20,22,7,1,1,3,40,21,47,1,2,18,18,142,105,12,1,9
2283,1,9,13,1,2,3,1,0,0,0,2,9,11,12,1,0,4,4,20,22,7,1,1,8,28,19,41,1,0,24,21,137,113,10,1,9
1618,1,3,4,1,0,0,0,3,3,1,1,8,9,9,0,0,1,5,9,14,-10,1,1,4,38,19,40,0,0,16,11,172,141,6,0,25
1618,1,3,4,1,0,0,0,3,3,1,1,8,9,9,0,0,1,5,9,14,-10,1,1,6,24,15,38,3,0,11,42,128,109,22,0,25
2348,1,15,26,1,5,8,1,8,12,1,2,9,11,6,2,0,4,3,43,34,-14,1,1,4,38,19,40,0,0,16,11,172,141,6,0,6
2348,1,15,26,1,5,8,1,8,12,1,2,9,11,6,2,0,4,3,43,34,-14,1,1,6,24,15,38,3,0,11,42,128,109,22,0,6
2088,0,12,17,1,0,4,0,7,7,1,1,12,13,9,4,0,3,3,31,34,28,1,1,3,32,18,49,5,0,13,28,141,89,20,1,11
2088,0,12,17,1,0,4,0,7,7,1,1,12,13,9,4,0,3,3,31,34,28,0,0,22,24,22,55,2,5,6,36,118,110,11,1,11
2515,0,8,29,0,3,8,0,9,10,1,9,8,17,12,2,2,2,4,28,27,3,1,1,3,32,18,49,5,0,13,28,141,89,20,1,3
2515,0,8,29,0,3,8,0,9,10,1,9,8,17,12,2,2,2,4,28,27,3,0,0,22,24,22,55,2,5,6,36,118,110,11,1,3
1528,0,3,10,0,0,4,0,6,8,1,3,7,10,6,1,1,1,1,12,14,8,0,0,12,27,20,34,2,4,7,24,125,98,8,1,16
1528,0,3,10,0,0,4,0,6,8,1,3,7,10,6,1,1,1,1,12,14,8,1,0,25,39,32,21,0,0,12,33,123,112,5,1,16
1976,0,9,21,0,1,2,0,5,5,1,8,11,19,5,0,0,3,1,24,22,19,0,0,12,27,20,34,2,4,7,24,125,98,8,1,18
1976,0,9,21,0,1,2,0,5,5,1,8,11,19,5,0,0,3,1,24,22,19,1,0,25,39,32,21,0,0,12,33,123,112,5,1,18
2152,1,8,16,0,1,5,0,6,7,1,4,10,14,6,0,2,2,0,23,24,0,1,1,10,28,19,26,0,4,10,25,130,120,9,0,11
2152,1,8,16,0,1,5,0,6,7,1,4,10,14,6,0,2,2,0,23,24,0,1,1,11,32,23,36,3,2,9,42,118,88,18,0,11
2476,0,17,30,1,2,6,0,3,4,1,3,13,16,5,2,1,3,2,39,33,2,1,1,10,28,19,26,0,4,10,25,130,120,9,1,10
2476,0,17,30,1,2,6,0,3,4,1,3,13,16,5,2,1,3,2,39,33,2,1,1,11,32,23,36,3,2,9,42,118,88,18,1,10
2138,1,6,9,1,0,0,0,3,3,1,0,13,13,14,1,0,10,3,15,15,15,1,1,0,36,20,51,1,0,49,25,102,105,3,1,12
2138,1,6,9,1,0,0,0,3,3,1,0,13,13,14,1,0,10,3,15,15,15,1,1,14,30,21,64,0,2,21,28,131,120,16,1,12
2516,1,11,19,1,1,2,0,7,8,1,6,11,17,17,0,1,6,3,30,34,5,1,1,0,36,20,51,1,0,49,25,102,105,3,0,7
2516,1,11,19,1,1,2,0,7,8,1,6,11,17,17,0,1,6,3,30,34,5,1,1,14,30,21,64,0,2,21,28,131,120,16,0,7
1594,0,9,10,1,1,1,1,2,2,1,0,6,6,10,2,0,4,2,21,24,20,1,1,0,25,14,49,4,0,27,25,150,100,19,1,25
1594,0,9,10,1,1,1,1,2,2,1,0,6,6,10,2,0,4,2,21,24,20,1,1,4,11,7,52,0,2,14,47,137,141,19,1,25
2367,1,20,30,1,2,4,0,11,13,1,1,3,4,11,0,1,6,2,53,42,2,1,1,0,25,14,49,4,0,27,25,150,100,19,0,5
2367,1,20,30,1,2,4,0,11,13,1,1,3,4,11,0,1,6,2,53,42,2,1,1,4,11,7,52,0,2,14,47,137,141,19,0,5
2037,1,11,20,1,0,1,0,4,5,1,1,7,8,10,2,3,4,2,26,25,15,1,1,4,24,14,45,3,9,15,32,115,99,10,1,6
2037,1,11,20,1,0,1,0,4,5,1,1,7,8,10,2,3,4,2,26,25,15,1,1,12,24,18,58,1,4,15,31,129,101,16,1,6
2253,0,12,20,1,2,3,1,3,5,1,4,9,13,12,1,2,4,3,29,30,18,1,1,4,24,14,45,3,9,15,32,115,99,10,1,16
2253,0,12,20,1,2,3,1,3,5,1,4,9,13,12,1,2,4,3,29,30,18,1,1,12,24,18,58,1,4,15,31,129,101,16,1,16
1242,1,10,20,0,1,3,0,3,3,1,1,3,4,6,2,1,1,5,24,20,11,1,1,5,15,10,70,4,4,4,43,123,104,13,1,3
1242,1,10,20,0,1,3,0,3,3,1,1,3,4,6,2,1,1,5,24,20,11,1,1,11,25,18,56,4,2,9,27,159,97,24,1,3
2254,1,13,18,1,0,1,0,6,6,1,3,7,10,12,3,1,2,4,32,37,28,1,1,5,15,10,70,4,4,4,43,123,104,13,1,25
2254,1,13,18,1,0,1,0,6,6,1,3,7,10,12,3,1,2,4,32,37,28,1,1,11,25,18,56,4,2,9,27,159,97,24,1,25
1784,1,12,20,1,2,4,0,3,4,1,3,5,8,3,0,0,2,4,29,22,-14,1,1,10,22,15,21,0,0,8,36,127,141,8,0,19
1784,1,12,20,1,2,4,0,3,4,1,3,5,8,3,0,0,2,4,29,22,-14,1,1,17,46,31,44,0,4,20,26,157,130,19,0,19
2546,0,12,17,1,3,3,1,7,8,1,6,15,21,14,0,2,5,4,34,40,11,1,1,10,22,15,21,0,0,8,36,127,141,8,1,6
2546,0,12,17,1,3,3,1,7,8,1,6,15,21,14,0,2,5,4,34,40,11,1,1,17,46,31,44,0,4,20,26,157,130,19,1,6
1656,1,4,4,1,0,0,0,0,0,0,0,6,6,14,3,0,2,0,8,19,29,1,1,0,27,14,59,5,0,33,10,172,97,22,1,23
1656,1,4,4,1,0,0,0,0,0,0,0,6,6,14,3,0,2,0,8,19,29,0,0,10,35,22,48,4,0,18,29,107,99,8,1,23
2517,0,9,21,0,0,3,0,5,6,1,4,13,17,12,3,0,5,3,23,23,7,1,1,0,27,14,59,5,0,33,10,172,97,22,1,5
2517,0,9,21,0,0,3,0,5,6,1,4,13,17,12,3,0,5,3,23,23,7,0,0,10,35,22,48,4,0,18,29,107,99,8,1,5
2295,1,9,19,0,2,5,0,4,7,1,1,5,6,8,1,0,2,4,24,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2295,1,9,19,0,2,5,0,4,7,1,1,5,6,8,1,0,2,4,24,18,15,1,1,3,14,9,31,1,0,8,30,114,114,3,1,11
2716,1,11,24,0,3,6,0,5,6,1,3,11,14,13,1,3,3,5,30,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2716,1,11,24,0,3,6,0,5,6,1,3,11,14,13,1,3,3,5,30,30,6,1,1,8,32,19,47,1,5,10,31,127,117,13,1,2
2427,0,8,12,1,1,2,0,10,12,1,0,10,10,14,1,1,2,1,27,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2427,0,8,12,1,1,2,0,10,12,1,0,10,10,14,1,1,2,1,27,33,14,1,1,0,24,14,54,1,2,10,23,156,98,22,1,11
