Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2019-04-13,24-053,DEN,,SAS,L (-5),1,36:21,0.506,0.444,7.9,33.8,19.9,58.3,2.9,0,23.3,15.7,116,103,18.3,11
2,2,2019-04-16,24-056,DEN,,SAS,W (+9),1,39:26,0.595,0.533,7.9,27,17.4,28.2,2.6,0,14.5,23.8,119,104,21,7.8
3,3,2019-04-18,24-058,DEN,@,SAS,L (-10),1,32:09,0.698,0.679,7.5,21.3,14.6,34.8,0,0,6,24.7,148,129,20.9,11.4
4,4,2019-04-20,24-060,DEN,@,SAS,W (+14),1,38:59,0.568,0.477,13.4,19.2,16.2,35.6,0,0,0,29.5,141,114,27.6,11
5,5,2019-04-23,24-063,DEN,,SAS,W (+18),1,32:55,0.627,0.545,7.5,25.2,17.6,36.8,3.2,2.2,19,23,126,90,18.5,11.8
6,6,2019-04-25,24-065,DEN,@,SAS,L (-17),1,38:09,0.677,0.667,17.6,21.6,19.4,56.4,2.8,2.1,5.9,39.2,140,129,41.4,28.6
7,7,2019-04-27,24-067,DEN,,SAS,W (+4),1,43:27,0.378,0.346,11,23,16.9,44.1,1.2,5.3,0,29.5,102,91,20.6,11.1
8,8,2019-04-29,24-069,DEN,,POR,W (+8),1,41:29,0.795,0.694,6.1,22.5,14.1,24.6,3.6,4.6,7.9,27.4,158,111,37.7,17.8
9,9,2019-05-01,24-071,DEN,,POR,L (-7),1,37:11,0.426,0.412,8.2,30.7,17.2,36.2,1.4,0,9.6,22.6,101,102,13.8,4.6
10,10,2019-05-03,24-073,DEN,@,POR,L (-3),1,64:58,0.607,0.6,6.8,22.2,14.7,36.3,0.9,2.6,22.7,24.9,116,114,29.5,8
11,11,2019-05-05,24-075,DEN,@,POR,W (+4),1,38:30,0.626,0.567,15.6,18.7,17,45.7,2.7,0,15.2,21.9,139,118,24.8,12.7
12,12,2019-05-07,24-077,DEN,,POR,W (+26),1,34:13,0.606,0.556,20.5,28.1,25.1,28.1,0,0,12.7,30,127,94,22.9,6.3
13,13,2019-05-09,24-079,DEN,@,POR,L (-11),1,36:51,0.783,0.733,5.4,33.4,18,52.2,0,0,17.8,27.7,140,129,25.7,10.9
14,14,2019-05-12,24-082,DEN,,POR,L (-4),1,41:54,0.499,0.462,8.2,20.6,14,11.2,0,6.8,6.4,32,103,102,20.9,10.2
