Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,24-246,DEN,@,POR,W (+8),1,23:54,8,14,0.571,3,5,0.6,1,2,0.5,4,9,13,2,0,0,4,4,20,14.3,14
2,2,2019-10-25,24-248,DEN,,PHO,W (+1),1,40:32,8,18,0.444,0,2,0,7,9,0.778,3,11,14,12,1,2,5,4,23,22.4,8
3,3,2019-10-28,24-251,DEN,@,SAC,W (+7),1,28:27,4,15,0.267,0,5,0,1,1,1,3,10,13,2,2,1,2,4,9,5.7,-3
4,4,2019-10-29,24-252,DEN,,DAL,L (-3),1,32:56,4,8,0.5,0,1,0,2,2,1,2,8,10,10,3,0,4,3,10,14.6,15
5,5,2019-10-31,24-254,DEN,@,NOP,L (-15),1,27:08,5,6,0.833,0,1,0,3,3,1,0,6,6,6,1,0,2,3,13,14.6,-16
6,6,2019-11-02,24-256,DEN,@,ORL,W (+4),1,31:27,7,14,0.5,3,7,0.429,3,4,0.75,0,7,7,4,0,0,1,2,20,15.7,14
7,7,2019-11-05,24-259,DEN,,MIA,W (+20),1,22:46,4,12,0.333,1,4,0.25,0,1,0,0,5,5,5,1,1,4,4,9,2.9,11
8,8,2019-11-08,24-262,DEN,,PHI,W (+3),1,37:47,10,22,0.455,2,9,0.222,4,5,0.8,2,8,10,6,2,2,1,4,26,23,18
9,9,2019-11-10,24-264,DEN,@,MIN,W (+2),1,35:55,9,23,0.391,1,7,0.143,1,3,0.333,3,3,6,7,1,1,0,4,20,14.7,-2
10,10,2019-11-12,24-266,DEN,,ATL,L (-4),1,30:44,7,19,0.368,1,8,0.125,5,6,0.833,1,5,6,7,3,0,2,2,20,16.4,-2
11,11,2019-11-14,24-268,DEN,,BRK,W (+8),1,28:02,8,14,0.571,2,5,0.4,0,0,,2,8,10,3,0,0,0,4,18,15.7,-2
12,12,2019-11-17,24-271,DEN,@,MEM,W (+17),1,25:34,4,7,0.571,1,3,0.333,0,0,,0,5,5,8,0,0,2,3,9,9.6,22
13,13,2019-11-20,24-274,DEN,,HOU,W (+10),1,32:26,12,19,0.632,2,4,0.5,1,1,1,5,7,12,4,0,0,7,5,27,17.9,7
14,14,2019-11-22,24-276,DEN,,BOS,W (+4),1,35:30,7,17,0.412,0,4,0,4,4,1,3,13,16,10,3,1,3,2,18,21.8,10
15,15,2019-11-24,24-278,DEN,,PHO,W (+12),1,32:20,4,9,0.444,0,1,0,0,0,,4,9,13,5,2,0,1,2,8,12.5,8
16,16,2019-11-26,24-280,DEN,,WAS,W (+13),1,24:53,4,8,0.5,0,0,,0,0,,2,18,20,5,0,0,3,3,8,10.1,10
17,17,2019-11-30,24-284,DEN,@,SAC,L (-3),1,36:29,3,11,0.273,0,3,0,1,2,0.5,3,7,10,6,0,1,4,3,7,4,-3
18,18,2019-12-03,24-287,DEN,,LAL,L (-9),1,34:24,4,12,0.333,0,2,0,5,6,0.833,1,4,5,8,3,0,5,4,13,9.7,-6
19,19,2019-12-05,24-289,DEN,@,NYK,W (+37),1,24:44,3,7,0.429,0,1,0,0,0,,1,9,10,8,0,1,0,2,6,11.2,10
20,20,2019-12-06,24-290,DEN,@,BOS,L (-13),1,30:40,13,21,0.619,1,5,0.2,3,3,1,4,6,10,4,1,2,1,3,30,28.1,0
21,21,2019-12-08,24-292,DEN,@,BRK,L (-3),1,33:39,10,21,0.476,2,6,0.333,2,2,1,2,9,11,6,0,0,3,3,24,17.4,-10
22,22,2019-12-10,24-294,DEN,@,PHI,L (-5),1,33:10,7,13,0.538,1,4,0.25,0,0,,0,7,7,11,0,1,2,2,15,16.4,8
23,23,2019-12-12,24-296,DEN,,POR,W (+15),1,31:01,7,14,0.5,2,5,0.4,4,6,0.667,4,7,11,6,0,0,1,2,20,19.5,3
24,24,2019-12-14,24-298,DEN,,OKC,W (+8),1,34:53,11,14,0.786,3,6,0.5,3,4,0.75,1,13,14,12,1,0,3,2,28,32.4,15
25,25,2019-12-15,24-299,DEN,,NYK,W (+6),1,35:48,10,22,0.455,2,5,0.4,3,4,0.75,3,7,10,5,1,1,2,1,25,20.2,4
26,26,2019-12-18,24-302,DEN,,ORL,W (+9),1,30:31,7,14,0.5,2,4,0.5,2,2,1,3,6,9,12,1,1,4,2,18,20.2,9
27,27,2019-12-20,24-304,DEN,,MIN,W (+9),1,32:44,10,16,0.625,2,4,0.5,0,0,,3,7,10,10,0,2,2,4,22,23.8,12
28,28,2019-12-22,24-306,DEN,@,LAL,W (+24),1,27:23,5,8,0.625,1,1,1,7,7,1,3,3,6,5,1,1,1,3,18,20.4,12
29,29,2019-12-23,24-307,DEN,@,PHO,W (+2),1,30:53,6,13,0.462,4,7,0.571,6,6,1,1,11,12,10,1,0,2,4,22,23.7,25
30,30,2019-12-25,24-309,DEN,,NOP,L (-12),1,30:55,8,20,0.4,2,5,0.4,5,6,0.833,4,6,10,4,2,0,5,3,23,15,-13
31,31,2019-12-28,24-312,DEN,,MEM,W (+9),1,32:57,12,19,0.632,2,5,0.4,5,7,0.714,2,8,10,10,1,0,1,6,31,30.1,23
32,32,2019-12-29,24-313,DEN,,SAC,W (+5),1,26:30,7,8,0.875,0,0,,3,4,0.75,4,4,8,4,1,0,4,3,17,16.4,8
33,33,2019-12-31,24-315,DEN,@,HOU,L (-26),1,31:59,10,17,0.588,0,1,0,1,1,1,2,6,8,4,0,0,6,2,21,12.3,-5
34,34,2020-01-02,24-317,DEN,@,IND,W (+8),1,24:11,7,15,0.467,0,3,0,8,8,1,3,4,7,0,0,0,2,5,22,13.6,-9
35,35,2020-01-04,24-319,DEN,@,WAS,L (-14),1,30:20,4,10,0.4,1,3,0.333,5,7,0.714,2,8,10,4,1,0,2,0,14,13.4,0
36,36,2020-01-06,24-321,DEN,@,ATL,W (+8),1,36:50,16,25,0.64,4,8,0.5,11,16,0.688,4,4,8,5,2,1,0,3,47,42.9,0
37,37,2020-01-08,24-323,DEN,@,DAL,W (+1),1,31:15,12,20,0.6,4,6,0.667,5,8,0.625,2,4,6,7,1,1,3,1,33,28.4,-3
38,38,2020-01-11,24-326,DEN,,CLE,L (-8),1,33:35,8,12,0.667,2,5,0.4,1,1,1,3,9,12,5,0,0,1,2,19,20.3,-2
39,39,2020-01-12,24-327,DEN,,LAC,W (+10),1,31:24,6,14,0.429,3,4,0.75,5,6,0.833,2,13,15,6,1,0,2,5,20,18.7,5
40,40,2020-01-15,24-330,DEN,,CHO,W (+14),1,29:02,5,9,0.556,0,1,0,2,2,1,1,7,8,8,1,2,4,3,12,13.3,3
41,41,2020-01-16,24-331,DEN,@,GSW,W (+3),1,43:48,10,20,0.5,0,3,0,3,3,1,2,10,12,8,0,2,9,4,23,13.8,18
42,42,2020-01-19,24-334,DEN,,IND,L (-8),1,31:44,10,16,0.625,2,4,0.5,8,12,0.667,1,9,10,4,3,0,1,4,30,27.8,-2
43,43,2020-01-20,24-335,DEN,@,MIN,W (+7),1,34:16,7,15,0.467,0,3,0,3,4,0.75,5,8,13,5,1,0,5,4,17,12.7,-6
44,44,2020-01-22,24-337,DEN,@,HOU,L (-16),1,34:08,8,19,0.421,0,1,0,3,6,0.5,4,8,12,10,1,1,6,2,19,14.8,-9
45,45,2020-01-24,24-339,DEN,@,NOP,W (+7),1,35:29,9,20,0.45,1,6,0.167,8,8,1,7,5,12,7,4,1,2,3,27,29.4,7
46,46,2020-01-26,24-341,DEN,,HOU,W (+7),1,38:26,9,18,0.5,0,2,0,6,7,0.857,2,10,12,11,2,0,6,4,24,21.1,0
47,47,2020-01-28,24-343,DEN,@,MEM,L (-8),1,38:43,8,16,0.5,3,6,0.5,6,6,1,3,10,13,5,0,1,8,3,25,17.1,-9
48,48,2020-01-30,24-345,DEN,,UTA,W (+6),1,34:44,11,19,0.579,1,2,0.5,5,6,0.833,0,4,4,10,3,0,3,4,28,25.3,-4
49,49,2020-01-31,24-346,DEN,@,MIL,W (+12),1,33:16,7,17,0.412,1,3,0.333,0,0,,0,10,10,9,1,0,3,4,15,11.6,-9
50,50,2020-02-02,24-348,DEN,@,DET,L (-5),1,39:45,16,23,0.696,1,3,0.333,6,7,0.857,0,10,10,11,3,2,2,4,39,40.4,13
51,51,2020-02-04,24-350,DEN,,POR,W (+28),1,30:43,11,17,0.647,3,5,0.6,4,4,1,4,9,13,9,2,3,4,1,29,33,23
52,52,2020-02-05,24-351,DEN,@,UTA,W (+3),1,39:46,14,24,0.583,0,2,0,2,4,0.5,6,15,21,10,2,0,1,2,30,33.9,10
53,53,2020-02-08,24-354,DEN,@,PHO,W (+9),1,33:56,9,19,0.474,0,3,0,5,5,1,4,5,9,6,1,3,6,3,23,17.7,3
54,54,2020-02-10,24-356,DEN,,SAS,W (+7),1,37:39,6,8,0.75,0,1,0,7,8,0.875,3,5,8,13,0,1,5,4,19,22.2,4
55,55,2020-02-12,24-358,DEN,,LAL,L (-4),1,37:19,9,18,0.5,2,3,0.667,2,2,1,1,10,11,6,3,1,3,5,22,19.6,-10
56,56,2020-02-21,25-002,DEN,@,OKC,L (-12),1,33:59,12,15,0.8,1,2,0.5,7,7,1,1,6,7,5,1,1,2,1,32,31.6,-2
57,57,2020-02-23,25-004,DEN,,MIN,W (+12),1,30:57,11,14,0.786,0,1,0,2,3,0.667,1,6,7,6,2,2,3,4,24,23.7,18
58,58,2020-02-25,25-006,DEN,,DET,W (+17),1,27:59,5,8,0.625,1,1,1,5,5,1,2,3,5,4,4,0,5,4,16,14.9,-3
59,59,2020-02-28,25-009,DEN,@,LAC,L (-29),1,25:09,9,13,0.692,0,2,0,3,4,0.75,2,7,9,2,1,0,3,1,21,17.6,-15
60,60,2020-03-01,25-011,DEN,,TOR,W (+15),1,35:04,8,11,0.727,0,0,,7,9,0.778,4,14,18,11,1,0,2,2,23,30.6,18
61,61,2020-03-03,25-013,DEN,,GSW,L (-16),1,32:19,7,15,0.467,0,1,0,2,2,1,4,9,13,7,1,2,5,2,16,15.3,-10
62,62,2020-03-05,25-015,DEN,@,CHO,W (+2),1,30:30,5,10,0.5,0,2,0,4,4,1,3,8,11,8,1,1,6,5,14,12.8,2
63,63,2020-03-07,25-017,DEN,@,CLE,L (-2),1,32:18,4,11,0.364,0,3,0,0,1,0,2,6,8,8,1,0,4,3,8,6.1,0
64,64,2020-03-09,25-019,DEN,,MIL,W (+14),1,29:41,4,13,0.308,1,5,0.2,1,2,0.5,0,9,9,7,1,0,2,3,10,7.5,6
65,65,2020-03-11,25-021,DEN,@,DAL,L (-16),1,33:43,7,10,0.7,0,2,0,0,0,,2,11,13,8,0,0,5,3,14,13.9,5
66,66,2020-08-01,25-164,DEN,,MIA,L (-20),1,34:07,7,16,0.438,1,5,0.2,4,6,0.667,0,7,7,6,1,1,3,3,19,13.6,-10
67,67,2020-08-03,25-166,DEN,@,OKC,W (+8),1,39:09,10,21,0.476,0,5,0,10,11,0.909,2,10,12,10,2,0,4,4,30,26.7,9
68,68,2020-08-05,25-168,DEN,@,SAS,W (+6),1,31:52,10,17,0.588,3,5,0.6,2,2,1,3,1,4,11,1,0,5,4,25,21.6,8
69,69,2020-08-06,25-169,DEN,,POR,L (-10),1,23:42,3,8,0.375,0,2,0,2,2,1,3,2,5,13,0,0,5,2,8,9.6,-1
70,70,2020-08-08,25-171,DEN,,UTA,W (+2),1,41:40,11,21,0.524,2,6,0.333,6,6,1,2,9,11,7,3,0,4,5,30,25.7,9
71,71,2020-08-10,25-173,DEN,@,LAL,L (-3),1,25:31,4,7,0.571,2,2,1,2,2,1,0,1,1,4,1,0,1,3,12,10.6,-5
72,72,2020-08-12,25-175,DEN,,LAC,L (-13),1,28:28,7,11,0.636,1,4,0.25,2,4,0.5,1,6,7,13,0,0,1,1,17,21.5,5
73,73,2020-08-14,25-177,DEN,@,TOR,L (-8),1,10:12,1,1,1,0,0,,0,0,,0,1,1,2,0,0,1,0,2,2.4,-6
