Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2020-08-17,25-180,DEN,,UTA,W (+10),1,42:10,0.65,0.619,2.9,23.1,13.5,10.7,2.4,2.5,15.2,29,115,116,22.1,2.7
2,2,2020-08-19,25-182,DEN,,UTA,L (-19),1,31:40,0.551,0.5,19.9,23.3,21.7,41.6,0,0,7.3,41.1,128,144,22.4,7.2
3,3,2020-08-21,25-184,DEN,@,UTA,L (-37),1,31:42,0.54,0.538,0,18,8,38,0,3.2,12.6,21.9,111,135,11.9,5.1
4,4,2020-08-23,25-186,DEN,@,UTA,L (-2),1,39:20,0.583,0.563,7.6,16.8,11.1,21.3,0,0,7.4,29.4,131,144,21.3,3
5,5,2020-08-25,25-188,DEN,,UTA,W (+10),1,42:51,0.816,0.816,0,18.2,9.2,15.2,0,2.5,9.5,23.3,144,115,24.2,10.1
6,6,2020-08-30,25-193,DEN,@,UTA,W (+12),1,36:26,0.64,0.567,8.2,6.4,7.2,39.8,4.4,0,10.4,26,144,115,22,9.9
7,7,2020-09-01,25-195,DEN,,UTA,W (+2),1,38:55,0.606,0.565,8,28.3,18.4,30.5,0,0,7.5,33.4,116,89,22.9,13
8,8,2020-09-03,25-197,DEN,@,LAC,L (-23),1,29:57,0.476,0.429,3.3,8.7,5.7,18.9,0,0,6,24.4,104,132,8.8,-3.5
9,9,2020-09-05,25-199,DEN,@,LAC,W (+9),1,37:15,0.727,0.706,2.7,43.8,23.9,18.3,0,6.9,25.1,27.9,114,92,21.2,9.4
10,10,2020-09-07,25-201,DEN,,LAC,L (-6),1,38:38,0.621,0.604,2.7,44.1,19.4,35.7,1.2,0,21.4,36.9,101,114,22,6.8
11,11,2020-09-09,25-203,DEN,,LAC,L (-11),1,38:53,0.544,0.522,3.3,29.4,17.2,55.2,0,2.4,11.2,35.5,102,107,18.3,7.9
12,12,2020-09-11,25-205,DEN,@,LAC,W (+6),1,40:07,0.586,0.588,3.2,32.4,19.7,21.2,1.3,5.2,24.2,28.8,96,106,16.2,2.2
13,13,2020-09-13,25-207,DEN,,LAC,W (+13),1,39:38,0.702,0.682,7.1,33,21.7,35,1.3,2.4,17.1,35.4,123,102,29.2,12.8
14,14,2020-09-15,25-209,DEN,@,LAC,W (+15),1,39:42,0.512,0.385,10.1,42.5,29.6,49.2,2.6,6.6,24.2,24,117,78,23.3,14.8
15,15,2020-09-18,25-212,DEN,@,LAL,L (-12),1,25:25,0.615,0.571,22.9,9.9,16,14.6,0,3.3,19,35.8,112,129,13.1,-0.8
16,16,2020-09-20,25-214,DEN,@,LAL,L (-2),1,38:39,0.593,0.475,3.3,16.8,9.9,46.9,5.1,0,7.3,31.5,127,102,28.1,14.4
17,17,2020-09-22,25-216,DEN,,LAL,W (+8),1,37:24,0.698,0.679,12.8,23,18.6,22.6,1.3,2.3,24.1,25.7,118,106,18.2,3.4
18,18,2020-09-24,25-218,DEN,,LAL,L (-6),1,35:42,0.576,0.538,11.5,13.8,12.7,17.4,3,0,6.7,20.4,126,123,14.4,4
19,19,2020-09-26,25-220,DEN,@,LAL,L (-10),1,29:57,0.608,0.594,6.8,25,14.2,34,4.9,0,5.7,24.9,125,111,18.8,13.6
