Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2020-12-23,25-308,DEN,,SAC,L (-2),1,41:50,0.66,0.639,8.3,28.2,19,53.6,0,3.6,21.5,28.7,121,110,29.3,12.3
2,2,2020-12-25,25-310,DEN,,LAC,L (-13),1,38:29,0.673,0.577,9.6,24.1,16,44.1,1.3,0,21.9,26.5,126,130,23,9.2
3,3,2020-12-28,25-313,DEN,,HOU,W (+13),1,34:07,0.771,0.773,12.8,24.5,18.8,72.9,4.1,3,19.6,18.7,159,100,31.8,23.4
4,4,2020-12-29,25-314,DEN,@,SAC,L (-10),1,38:33,0.761,0.679,3.9,25.5,16.4,45.6,2.5,0,36.9,31,112,122,22,4.1
5,5,2021-01-01,25-317,DEN,,PHO,L (-3),1,29:31,0.654,0.654,13.2,25.7,19.5,64.8,1.8,0,7.1,21.9,147,112,20.3,19
6,6,2021-01-03,25-319,DEN,@,MIN,W (+15),1,31:42,0.713,0.667,11.4,34.9,23,55.3,0,0,34.4,26.5,120,112,18,3.4
7,7,2021-01-05,25-321,DEN,,MIN,W (+7),1,36:34,0.692,0.625,15.6,31.3,23.4,31.2,3.8,2.3,13.7,34.1,134,104,33.4,13.9
8,8,2021-01-07,25-323,DEN,,DAL,L (-7),1,41:13,0.537,0.516,2.8,28.6,15.5,20.6,2.4,0,7.8,41.4,105,113,24.2,6.7
9,9,2021-01-09,25-325,DEN,@,PHI,W (+12),1,29:02,0.805,0.75,3.8,26.5,16,56.6,0,0,30,19.4,138,105,18.5,10.7
10,10,2021-01-10,25-326,DEN,@,NYK,W (+25),1,30:04,0.674,0.633,13.3,26,20.2,26.1,1.7,3,10.9,28.9,138,95,22.1,12.3
11,11,2021-01-12,25-328,DEN,@,BRK,L (-6),1,34:20,0.586,0.5,3.3,31.6,15.3,46.9,10.2,3,4.8,26.7,140,107,30.7,20.2
12,12,2021-01-14,25-330,DEN,,GSW,W (+10),1,35:54,0.603,0.5,2.8,38.6,20.1,44.1,3.9,0,13.6,25.7,123,95,25,10.8
13,13,2021-01-17,25-333,DEN,,UTA,L (-4),1,39:50,0.707,0.674,18.5,20.1,19.2,46.9,2.7,3.1,19.5,32.1,133,117,33.3,20.1
14,14,2021-01-19,25-335,DEN,,OKC,W (+18),1,28:24,0.605,0.571,16.9,24.1,20.5,39.4,1.6,3.9,4.3,31.5,139,95,26.8,16.4
15,15,2021-01-22,25-338,DEN,@,PHO,W (+4),1,39:42,0.565,0.574,17.4,12.7,15.2,32.4,3.8,0,9.9,33.8,117,116,27.1,8.6
16,16,2021-01-23,25-339,DEN,@,PHO,W (+8),1,42:00,0.534,0.429,17.6,34.5,26.4,30.1,1.2,0,18.1,36,107,97,24.1,6.9
17,17,2021-01-25,25-341,DEN,@,DAL,W (+4),1,33:55,0.678,0.615,10.6,23,17.1,19.7,3,2.7,28.9,27.4,110,115,17,0.8
18,18,2021-01-27,25-343,DEN,@,MIA,W (+27),1,34:06,0.706,0.679,6.4,29.5,17.8,14.4,0,4,6.3,20.4,141,91,19.9,6.5
19,19,2021-01-29,25-345,DEN,@,SAS,L (-10),1,38:43,0.679,0.688,3.2,28.6,15.9,26.2,1.3,2.1,13.4,36.2,119,124,26.4,7.3
20,20,2021-01-31,25-347,DEN,,UTA,W (+11),1,37:20,0.773,0.731,11,27.6,20,25.6,2.7,4.6,9,41.5,148,117,42.4,20.9
21,21,2021-02-04,25-351,DEN,@,LAL,L (-21),1,34:56,0.385,0.375,8.6,24.2,15.1,29.7,1.4,0,15.1,24,89,120,8.3,-1.8
22,22,2021-02-06,25-353,DEN,@,SAC,L (-5),1,41:24,0.693,0.652,2.4,18.4,10.1,63.8,1.2,6.2,2.7,38.3,149,120,47.4,27.2
23,23,2021-02-08,25-355,DEN,,MIL,L (-13),1,39:06,0.611,0.558,7.8,26.9,16.7,29.4,0,0,0,32,136,129,29.8,11.6
24,24,2021-02-10,25-357,DEN,,CLE,W (+38),1,29:50,0.761,0.714,4.6,15.2,11,44.9,3.2,0,20.2,15.1,158,95,18.5,11.6
25,25,2021-02-12,25-359,DEN,,OKC,W (+2),1,36:37,0.652,0.625,8.7,28.5,18.7,41.8,1.4,2.3,10.6,23.7,132,95,23.9,13.9
26,26,2021-02-14,25-361,DEN,,LAL,W (+17),1,34:46,0.586,0.5,11.8,36,23.8,49.4,0,2.3,13.3,28.7,130,104,24.6,10.6
27,27,2021-02-16,25-363,DEN,@,BOS,L (-13),1,37:33,0.811,0.761,8.7,10.4,9.5,36.4,2.7,3.3,10.2,35.1,149,117,38.3,22.3
28,28,2021-02-17,25-364,DEN,@,WAS,L (-2),1,36:53,0.698,0.643,2.8,19,10.5,36.2,2.6,0,11.3,31.3,140,126,29.3,10.7
29,29,2021-02-19,26-000,DEN,@,CLE,W (+17),1,32:48,0.784,0.688,10.8,33.3,24.7,37.8,6.2,2.8,22.7,18.8,152,92,24.7,18.2
30,30,2021-02-21,26-002,DEN,@,ATL,L (-8),1,36:42,0.447,0.4,7.1,26.2,17,21.5,4,0,19.3,26.1,91,120,11.1,-3.7
31,31,2021-02-23,26-004,DEN,,POR,W (+5),1,37:44,0.607,0.578,7.6,6.9,7.3,34.6,1.4,0,0,41.7,130,121,32.2,15.4
32,32,2021-02-25,26-006,DEN,,WAS,L (-2),1,37:42,0.621,0.583,5.8,27.3,16.3,34.9,1.3,4.2,4.9,22.8,139,111,24.2,12.8
33,33,2021-02-27,26-008,DEN,@,OKC,W (+30),1,30:07,0.873,0.85,4.4,31.9,20.4,57.2,3.2,0,0,16.1,195,89,28.8,25.5
34,34,2021-03-01,26-010,DEN,@,CHI,W (+6),1,38:25,0.646,0.607,6.4,27.3,18.6,45.4,1.3,4.5,3.2,36.2,142,107,37.3,17.3
35,35,2021-03-02,26-011,DEN,@,MIL,W (+31),1,36:24,0.734,0.696,13.9,16.8,15.5,43.7,2.8,0,7.4,32.5,154,101,38.8,24.4
36,36,2021-03-04,26-013,DEN,@,IND,W (+10),1,37:00,0.53,0.528,8.9,28.2,20.8,31.1,0,0,27,32.6,96,108,12.8,-4.6
37,37,2021-03-12,26-021,DEN,@,MEM,W (+1),1,36:16,0.612,0.614,5.8,39.1,22.1,38.9,2.8,0,4.2,29.9,128,101,28.2,14.3
38,38,2021-03-13,26-022,DEN,,DAL,L (-13),1,36:02,0.574,0.525,5.4,22.7,13.3,61.9,0,0,15,32.9,118,130,22.8,11
39,39,2021-03-15,26-024,DEN,,IND,W (+15),1,34:14,0.544,0.48,18.3,23.9,21.1,23.7,5.9,2.9,3.3,36.9,132,99,31.1,15.6
40,40,2021-03-17,26-026,DEN,,CHO,W (+25),1,28:37,0.857,0.857,9.9,28.6,20.7,40,0,0,30,15.1,148,107,16.5,7.8
41,41,2021-03-19,26-028,DEN,,CHI,W (+4),1,42:08,0.663,0.652,15,29.3,22.2,37.3,2.4,2.3,3.8,28.9,147,116,35.6,14.8
42,42,2021-03-21,26-030,DEN,,NOP,L (-5),1,34:37,0.763,0.763,10.1,23.7,16.9,53.4,1.4,2.4,20.8,31,130,115,27.6,16.7
43,43,2021-03-23,26-032,DEN,@,ORL,W (+11),1,36:15,0.746,0.706,12.9,30.3,22.3,43.5,2.8,2.5,13.8,27,147,101,32.5,19.7
44,44,2021-03-24,26-033,DEN,@,TOR,L (-24),1,29:38,0.635,0.571,12.2,25.6,17.8,28.9,1.7,0,20.2,27.4,118,137,18.1,4.3
45,45,2021-03-26,26-035,DEN,@,NOP,W (+5),1,41:07,0.617,0.617,5.6,15.1,9.6,38.7,2.6,2.4,3.2,34.8,135,118,32.2,15
46,46,2021-03-28,26-037,DEN,,ATL,W (+24),1,28:13,0.621,0.625,11.6,33.1,21.3,35.7,1.8,8.1,0,20.1,159,102,22.2,18.5
47,47,2021-03-30,26-039,DEN,,PHI,W (+9),1,34:25,0.631,0.571,11,20.8,16.4,25,0,0,23.1,27.8,110,106,16.3,1
48,48,2021-04-01,26-041,DEN,@,LAC,W (+7),1,35:50,0.438,0.438,3.4,18.3,11.3,30.3,0,2.6,20,26.7,87,108,8.1,-2.4
49,49,2021-04-04,26-044,DEN,,ORL,W (+10),1,37:42,0.568,0.455,5.7,19.8,12.7,55.6,1.3,0,21.1,20.9,129,115,20.6,8.4
50,50,2021-04-06,26-046,DEN,,DET,W (+15),1,26:46,0.8,0.813,10,28.3,19.4,60.3,1.9,3.9,5.6,29.7,171,122,31,23.9
51,51,2021-04-07,26-047,DEN,,SAS,W (+10),1,30:27,0.633,0.611,3.7,24.3,14.9,69.6,1.5,0,23.3,34.3,109,94,21.5,12.8
52,52,2021-04-09,26-049,DEN,,SAS,W (+2),1,38:22,0.662,0.588,17.4,20.9,19.4,55.2,1.3,0,23.4,29.9,131,119,26.8,9
53,53,2021-04-11,26-051,DEN,,BOS,L (-18),1,31:30,0.47,0.4,5.5,28.3,15.5,73.3,1.7,2.8,10,29.2,109,109,18.1,13.6
54,54,2021-04-12,26-052,DEN,@,GSW,L (-9),1,37:17,0.551,0.5,12.3,29.4,20.1,39.4,1.3,3.5,14,32.5,113,115,23.6,8.7
55,55,2021-04-14,26-054,DEN,,MIA,W (+17),1,32:02,0.525,0.464,16.2,25,20.5,42.3,1.7,6.4,11,26,135,113,20.7,10.5
56,56,2021-04-16,26-056,DEN,@,HOU,W (+29),1,27:05,0.909,0.875,23.6,40.3,31.9,43.9,3.7,0,0,24.3,199,95,37.1,34.3
57,57,2021-04-19,26-059,DEN,,MEM,W (+2),1,45:04,0.699,0.677,18,18.7,18.4,40.8,0,1.9,17.2,38.1,127,115,38.3,11
58,58,2021-04-21,26-061,DEN,@,POR,W (+1),1,35:38,0.593,0.528,11.2,17.3,13.9,25.1,0,2.6,15.9,31.1,118,118,20.1,5.1
59,59,2021-04-23,26-063,DEN,@,GSW,L (-21),1,33:24,0.522,0.438,0,23.3,9.8,36,0,0,5.2,26.1,109,126,14.8,-0.2
60,60,2021-04-24,26-064,DEN,,HOU,W (+13),1,29:01,0.721,0.714,0,32.3,18.6,59.3,1.6,3.9,19.4,32.5,133,111,24.3,9.8
61,61,2021-04-26,26-066,DEN,,MEM,W (+24),1,29:40,0.732,0.583,3.4,49.2,26.1,22.9,3.1,0,26.8,31.6,115,85,21.2,10.1
62,62,2021-04-28,26-068,DEN,,NOP,W (+2),1,36:29,0.68,0.65,0,22.5,11.5,38.7,3.6,6.9,20.3,34.3,112,97,28.4,12.4
63,63,2021-04-29,26-069,DEN,,TOR,W (+10),1,28:26,0.707,0.692,15.7,29.5,22.4,11.1,1.7,0,6.9,21.1,148,113,19,8.8
64,64,2021-05-01,26-071,DEN,@,LAC,W (+6),1,33:22,0.701,0.588,7.8,37.5,24.3,38.7,0,2.9,0,31,159,111,30.7,20.3
65,65,2021-05-03,26-073,DEN,@,LAL,L (-4),1,35:36,0.508,0.446,9.6,19.3,14.4,34,2.9,3.1,6,44.7,104,96,23.3,11.5
66,66,2021-05-05,26-075,DEN,,NYK,W (+16),1,29:07,0.708,0.625,9.3,28.5,18.8,48.2,3.2,6.5,15,35.2,133,87,30.8,21.8
67,67,2021-05-07,26-077,DEN,@,UTA,L (-7),1,35:02,0.94,0.909,7.2,25.2,16.2,58.1,0,3.2,28.2,22.4,153,132,26.2,14.1
68,68,2021-05-08,26-078,DEN,,BRK,L (-6),1,36:56,0.581,0.476,9.1,20.8,13.4,26.9,0,0,16.7,34.1,114,134,19.6,0.5
69,69,2021-05-11,26-081,DEN,@,CHO,W (+5),1,32:57,0.639,0.438,6.6,30.5,18.4,28.4,0,0,7.8,33.3,137,113,26.7,7.3
70,70,2021-05-13,26-083,DEN,@,MIN,W (+11),1,32:14,0.694,0.667,19.4,23.8,21.7,23.7,1.5,3.8,8.2,32.1,140,102,30.2,16.1
71,71,2021-05-14,26-084,DEN,@,DET,W (+13),1,26:28,0.71,0.636,13.3,44.4,30.2,68.1,0,0,6.6,26.5,157,95,26.3,22.4
72,72,2021-05-16,26-086,DEN,@,POR,L (-16),1,16:41,0.573,0.529,5.8,15.6,9.9,31.8,2.9,0,5.2,50.3,115,132,14.2,7.6
