Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-04-16,28-056,DEN,,MIN,W (+29),1,28:29,6,12,0.5,0,0,,1,3,0.333,5,9,14,6,1,0,1,6,13,14.2,15
2,2,2023-04-19,28-059,DEN,,MIN,W (+9),1,37:14,10,19,0.526,1,3,0.333,6,9,0.667,3,6,9,9,0,0,3,4,27,22.1,6
3,3,2023-04-21,28-061,DEN,@,MIN,W (+9),1,38:03,9,13,0.692,2,3,0.667,0,0,,2,9,11,12,1,0,4,4,20,22.4,7
4,4,2023-04-23,28-063,DEN,@,MIN,L (-6),1,39:08,15,26,0.577,5,8,0.625,8,12,0.667,2,9,11,6,2,0,4,3,43,34.3,-14
5,5,2023-04-25,28-065,DEN,,MIN,W (+3),1,41:55,8,29,0.276,3,8,0.375,9,10,0.9,9,8,17,12,2,2,2,4,28,27.4,3
6,6,2023-04-29,28-069,DEN,,PHO,W (+18),1,32:56,9,21,0.429,1,2,0.5,5,5,1,8,11,19,5,0,0,3,1,24,21.9,19
7,7,2023-05-01,28-071,DEN,,PHO,W (+10),1,41:16,17,30,0.567,2,6,0.333,3,4,0.75,3,13,16,5,2,1,3,2,39,32.8,2
8,8,2023-05-05,28-075,DEN,@,PHO,L (-7),1,41:56,11,19,0.579,1,2,0.5,7,8,0.875,6,11,17,17,0,1,6,3,30,33.6,5
9,9,2023-05-07,28-077,DEN,@,PHO,L (-5),1,39:27,20,30,0.667,2,4,0.5,11,13,0.846,1,3,4,11,0,1,6,2,53,42.4,2
10,10,2023-05-09,28-079,DEN,,PHO,W (+16),1,37:33,12,20,0.6,2,3,0.667,3,5,0.6,4,9,13,12,1,2,4,3,29,30.1,18
11,11,2023-05-11,28-081,DEN,@,PHO,W (+25),1,37:34,13,18,0.722,0,1,0,6,6,1,3,7,10,12,3,1,2,4,32,37.3,28
12,12,2023-05-16,28-086,DEN,,LAL,W (+6),1,42:26,12,17,0.706,3,3,1,7,8,0.875,6,15,21,14,0,2,5,4,34,39.8,11
13,13,2023-05-18,28-088,DEN,,LAL,W (+5),1,41:57,9,21,0.429,0,3,0,5,6,0.833,4,13,17,12,3,0,5,3,23,23.4,7
14,14,2023-05-20,28-090,DEN,@,LAL,W (+11),1,38:15,9,19,0.474,2,5,0.4,4,7,0.571,1,5,6,8,1,0,2,4,24,18.3,15
15,15,2023-05-22,28-092,DEN,@,LAL,W (+2),1,45:16,11,24,0.458,3,6,0.5,5,6,0.833,3,11,14,13,1,3,3,5,30,29.8,6
16,16,2023-06-01,28-102,DEN,,MIA,W (+11),1,40:27,8,12,0.667,1,2,0.5,10,12,0.833,0,10,10,14,1,1,2,1,27,33.1,14
