Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
1,1.0,2022-10-19,27-242,DEN,@,UTA,L (-21),1,33:25,12.0,17.0,0.706,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,4.0,6.0,3.0,0.0,3.0,4.0,27.0,24.5,-5.0,0.755,0.735,6.8,8.0,7.4,37.9,4.3,0.0,14.4,26.8,136.0,119.0,13.7
1,1.0,2022-10-19,27-242,DEN,@,UTA,L (-21),1,33:25,12.0,17.0,0.706,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,4.0,6.0,3.0,0.0,3.0,4.0,27.0,24.5,-5.0,0.488,0.5,19.1,31.6,25.6,32.7,1.8,0.0,7.0,22.5,124.0,83.0,6.4
1,1.0,2023-04-16,28-056,DEN,,MIN,W (+29),1,28:29,6.0,12.0,0.5,0.0,0.0,,1.0,3.0,0.333,5.0,9.0,14.0,6.0,1.0,0.0,1.0,6.0,13.0,14.2,15.0,0.755,0.735,6.8,8.0,7.4,37.9,4.3,0.0,14.4,26.8,136.0,119.0,13.7
1,1.0,2023-04-16,28-056,DEN,,MIN,W (+29),1,28:29,6.0,12.0,0.5,0.0,0.0,,1.0,3.0,0.333,5.0,9.0,14.0,6.0,1.0,0.0,1.0,6.0,13.0,14.2,15.0,0.488,0.5,19.1,31.6,25.6,32.7,1.8,0.0,7.0,22.5,124.0,83.0,6.4
2,2.0,2022-10-21,27-244,DEN,@,GSW,W (+5),1,34:24,7.0,13.0,0.538,1.0,2.0,0.5,11.0,11.0,1.0,3.0,9.0,12.0,10.0,0.0,0.0,5.0,4.0,26.0,24.9,-3.0,0.729,0.577,10.5,34.9,22.0,38.5,0.0,0.0,21.9,27.2,138.0,119.0,7.2
2,2.0,2022-10-21,27-244,DEN,@,GSW,W (+5),1,34:24,7.0,13.0,0.538,1.0,2.0,0.5,11.0,11.0,1.0,3.0,9.0,12.0,10.0,0.0,0.0,5.0,4.0,26.0,24.9,-3.0,0.588,0.553,11.1,21.5,16.3,35.0,0.0,0.0,11.6,31.6,126.0,125.0,6.0
2,2.0,2023-04-19,28-059,DEN,,MIN,W (+9),1,37:14,10.0,19.0,0.526,1.0,3.0,0.333,6.0,9.0,0.667,3.0,6.0,9.0,9.0,0.0,0.0,3.0,4.0,27.0,22.1,6.0,0.729,0.577,10.5,34.9,22.0,38.5,0.0,0.0,21.9,27.2,138.0,119.0,7.2
2,2.0,2023-04-19,28-059,DEN,,MIN,W (+9),1,37:14,10.0,19.0,0.526,1.0,3.0,0.333,6.0,9.0,0.667,3.0,6.0,9.0,9.0,0.0,0.0,3.0,4.0,27.0,22.1,6.0,0.588,0.553,11.1,21.5,16.3,35.0,0.0,0.0,11.6,31.6,126.0,125.0,6.0
3,3.0,2022-10-22,27-245,DEN,,OKC,W (+5),1,38:41,6.0,10.0,0.6,1.0,1.0,1.0,6.0,9.0,0.667,1.0,15.0,16.0,13.0,1.0,1.0,3.0,2.0,19.0,25.4,18.0,0.681,0.65,2.7,39.6,21.3,46.7,1.2,2.2,17.7,18.0,142.0,105.0,11.7
3,3.0,2022-10-22,27-245,DEN,,OKC,W (+5),1,38:41,6.0,10.0,0.6,1.0,1.0,1.0,6.0,9.0,0.667,1.0,15.0,16.0,13.0,1.0,1.0,3.0,2.0,19.0,25.4,18.0,0.769,0.769,8.1,27.7,19.3,41.3,1.3,0.0,23.5,20.7,137.0,113.0,10.2
3,3.0,2023-04-21,28-061,DEN,@,MIN,W (+9),1,38:03,9.0,13.0,0.692,2.0,3.0,0.667,0.0,0.0,,2.0,9.0,11.0,12.0,1.0,0.0,4.0,4.0,20.0,22.4,7.0,0.681,0.65,2.7,39.6,21.3,46.7,1.2,2.2,17.7,18.0,142.0,105.0,11.7
3,3.0,2023-04-21,28-061,DEN,@,MIN,W (+9),1,38:03,9.0,13.0,0.692,2.0,3.0,0.667,0.0,0.0,,2.0,9.0,11.0,12.0,1.0,0.0,4.0,4.0,20.0,22.4,7.0,0.769,0.769,8.1,27.7,19.3,41.3,1.3,0.0,23.5,20.7,137.0,113.0,10.2
4,4.0,2022-10-24,27-247,DEN,@,POR,L (-25),1,26:58,3.0,4.0,0.75,0.0,0.0,,3.0,3.0,1.0,1.0,8.0,9.0,9.0,0.0,0.0,1.0,5.0,9.0,13.8,-10.0,0.846,0.75,3.9,38.5,19.3,40.4,0.0,0.0,15.8,10.7,172.0,141.0,6.3
4,4.0,2022-10-24,27-247,DEN,@,POR,L (-25),1,26:58,3.0,4.0,0.75,0.0,0.0,,3.0,3.0,1.0,1.0,8.0,9.0,9.0,0.0,0.0,1.0,5.0,9.0,13.8,-10.0,0.687,0.673,5.8,23.9,15.2,37.5,2.7,0.0,11.3,41.9,128.0,109.0,22.2
4,4.0,2023-04-23,28-063,DEN,@,MIN,L (-6),1,39:08,15.0,26.0,0.577,5.0,8.0,0.625,8.0,12.0,0.667,2.0,9.0,11.0,6.0,2.0,0.0,4.0,3.0,43.0,34.3,-14.0,0.846,0.75,3.9,38.5,19.3,40.4,0.0,0.0,15.8,10.7,172.0,141.0,6.3
