Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Unnamed: 28_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
,Total,596,555,18339,4628,8367,593,1702,2205,2661,1560,6273,3959,714,423,1709,1641,12054,,.553,.348,.829,,.632,26.8,125,108,,30.8,20.2,10.5,6.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Place,Home,302,282,9343,2375,4235,301,843,1212,1480,794,3302,2182,375,220,860,874,6263,,.561,.357,.819,,.641,26.8,127,107,,30.9,20.7,10.9,7.2
,Road,294,273,8996,2253,4132,292,859,993,1181,766,2971,1777,339,203,849,767,5791,,.545,.340,.841,,.622,26.7,122,109,,30.6,19.7,10.1,6.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
All-Star,Pre,402,361,12246,3072,5600,426,1186,1451,1751,1050,4144,2658,484,277,1143,1114,8021,,.549,.359,.829,,.630,26.7,124,107,,30.5,20.0,10.3,6.6
,Post,194,194,6093,1556,2767,167,516,754,910,510,2129,1301,230,146,566,527,4033,,.562,.324,.829,,.637,26.8,125,109,,31.4,20.8,11.0,6.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Result,Win,351,335,11056,2899,5086,359,992,1381,1661,943,3988,2648,435,254,1000,968,7538,,.570,.362,.831,,.648,27.0,130,104,,31.5,21.5,11.4,7.5
,Loss,245,220,7284,1729,3281,234,710,824,1000,617,2285,1311,279,169,709,673,4516,,.527,.330,.824,,.607,26.4,117,114,,29.7,18.4,9.3,5.4
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Month,October,37,35,1102,260,468,43,115,127,150,89,413,210,44,22,111,110,690,,.556,.374,.847,,.646,25.0,122,102,,29.8,18.6,11.2,5.7
,November,91,72,2465,525,1011,72,230,240,306,197,786,466,101,60,191,250,1362,,.519,.313,.784,,.594,23.6,120,105,,27.1,15.0,8.6,5.1
,December,93,74,2855,739,1319,87,259,355,435,237,940,634,107,62,289,246,1920,,.560,.336,.816,,.636,27.7,123,109,,30.7,20.6,10.1,6.8
,January,116,115,3690,971,1758,140,386,463,549,336,1256,825,156,82,353,328,2545,,.552,.363,.843,,.636,27.8,126,108,,31.8,21.9,10.8,7.1
,February,90,90,2802,716,1297,103,243,363,428,265,1013,673,105,62,275,262,1898,,.552,.424,.848,,.639,27.1,127,109,,31.1,21.1,11.3,7.5
,March,107,107,3415,886,1550,95,280,390,476,292,1209,712,123,88,301,275,2257,,.572,.339,.819,,.641,26.7,126,110,,31.9,21.1,11.3,6.7
,April,45,45,1498,391,704,39,133,169,208,108,514,313,64,40,143,120,990,,.555,.293,.813,,.622,27.3,121,106,,33.3,22.0,11.4,7.0
,May,9,9,278,87,158,5,27,70,76,25,94,60,6,6,22,28,249,,.551,.185,.921,,.650,33.7,132,111,,30.9,27.7,10.4,6.7
,August,8,8,235,53,102,9,29,28,33,11,48,66,8,1,24,22,143,,.520,.310,.848,,.614,26.2,123,123,,29.3,17.9,6.0,8.3
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Day,Sunday,78,72,2415,637,1131,75,210,307,373,207,855,530,106,61,192,216,1656,,.563,.357,.823,,.639,26.9,129,108,,31.0,21.2,11.0,6.8
